barra	utm_x	utm_y
B_8616	-466311288	-235286306
B_8615	-466311378	-235286387
B_8614	-466315201	-235286799
B_8613	-466311890	-235287188
B_8612	-466311978	-235287374
B_8611	-466312282	-235288274
B_8610	-466317438	-235284617
B_8609	-466317358	-235283208
B_8608	-466317526	-235284697
B_8607	-466318659	-235286902
B_8606	-466317638	-235285779
B_8605	-466320373	-235286481
B_8604	-466321663	-235285837
B_8603	-466322229	-235286725
B_8602	-466324699	-235285969
B_8601	-466325567	-235285691
B_8600	-466325547	-235285698
B_8599	-466329067	-235284496
B_8598	-466327595	-235285044
B_8597	-466335813	-235282519
B_8596	-466334838	-235282890
B_8595	-466332986	-235283452
B_8594	-466330620	-235284109
B_8593	-466334959	-235279385
B_8592	-466335959	-235277931
B_8590	-466335159	-235279348
B_8589	-466336872	-235280973
B_8588	-466336463	-235279622
B_8587	-466337919	-235281993
B_8586	-466337383	-235282683
B_8585	-466337082	-235282054
B_8584	-466338198	-235285202
B_8583	-466337695	-235283692
B_8582	-466337688	-235283673
B_8581	-466338504	-235286193
B_8580	-466338833	-235287045
B_8579	-466338709	-235286913
B_8578	-466339780	-235290864
B_8577	-466339767	-235290816
B_8576	-466339504	-235289656
B_8575	-466339205	-235288333
B_8574	-466340383	-235292860
B_8573	-466340961	-235294836
B_8572	-466341397	-235296273
B_8571	-466340678	-235289361
B_8570	-466339988	-235289668
B_8569	-466339133	-235281581
B_8568	-466341278	-235280836
B_8567	-466342747	-235300729
B_8566	-466342187	-235298887
B_8565	-466358365	-235296220
B_8564	-466359826	-235295656
B_8563	-466343043	-235280194
B_8562	-466343133	-235280275
B_8561	-466343480	-235304427
B_8560	-466343569	-235304506
B_8559	-466343657	-235304588
B_8558	-466343747	-235304668
B_8557	-466343925	-235304829
B_8556	-466344122	-235288220
B_8555	-466345962	-235279431
B_8554	-466344205	-235279902
B_8553	-466340697	-235289352
B_8552	-466342259	-235288952
B_8551	-466344209	-235288300
B_8550	-466344555	-235307450
B_8549	-466344645	-235307529
B_8548	-466345109	-235281699
B_8547	-466345094	-235281648
B_8546	-466345526	-235283722
B_8545	-466345721	-235283679
B_8544	-466346037	-235284677
B_8543	-466346126	-235284758
B_8542	-466346330	-235285388
B_8541	-466346534	-235286109
B_8540	-466346340	-235285427
B_8539	-466346334	-235285409
B_8538	-466350355	-235286249
B_8537	-466348991	-235286715
B_8536	-466346908	-235287350
B_8535	-466347213	-235288471
B_8534	-466347044	-235287729
B_8533	-466344315	-235288263
B_8532	-466346551	-235287463
B_8531	-466346844	-235287370
B_8530	-466347034	-235279060
B_8529	-466347245	-235288604
B_8528	-466347253	-235288629
B_8527	-466348172	-235291781
B_8526	-466349396	-235295741
B_8525	-466347530	-235278793
B_8524	-466347611	-235278840
B_8523	-466347671	-235290079
B_8522	-466347759	-235290159
B_8521	-466348897	-235294220
B_8520	-466348986	-235294300
B_8519	-466350225	-235278050
B_8518	-466348453	-235278575
B_8517	-466350213	-235277992
B_8516	-466351488	-235297895
B_8515	-466351578	-235297984
B_8514	-466354613	-235297050
