barra	utm_x	utm_y
B_3265	-466251368	-235232723
B_3264	-466247968	-235225173
B_3263	-466247951	-235225262
B_3262	-466249507	-235225260
B_3261	-466232555	-235202362
B_3260	-466234588	-235203115
B_3259	-466234609	-235203131
B_3258	-466236333	-235204685
B_3257	-466236390	-235204737
B_3256	-466238134	-235206223
B_3255	-466238209	-235206287
B_3254	-466240309	-235208006
B_3253	-466240387	-235208070
B_3252	-466242493	-235209969
B_3251	-466242565	-235210034
B_3250	-466231015	-235225288
B_3249	-466231896	-235225279
B_3248	-466248050	-235224709
B_3247	-466244787	-235224837
B_3246	-466241654	-235224960
B_3245	-466238718	-235225081
B_3244	-466235880	-235225291
B_3243	-466232944	-235225412
B_3242	-466231965	-235225422
B_3241	-466231083	-235225431
B_3240	-466247709	-235213104
B_3239	-466250547	-235220840
B_3238	-466250191	-235224537
B_3237	-466250636	-235220921
B_3236	-466244051	-235211373
B_3235	-466245826	-235212031
B_3234	-466247799	-235213184
B_3233	-466249382	-235214522
B_3232	-466250380	-235216047
B_3231	-466250797	-235218029
B_3230	-466250813	-235226527
B_3229	-466251138	-235231025
B_3228	-466251134	-235229675
B_3227	-466250901	-235226606
B_3226	-466250763	-235223356
B_3225	-466251369	-235232743
B_3224	-466251547	-235238439
B_3223	-466251636	-235238519
B_3222	-466252059	-235247563
B_3221	-466252238	-235247724
B_3220	-466255588	-235232702
B_3219	-466255362	-235233819
B_3218	-466255501	-235233521
B_3217	-466255480	-235233679
B_3216	-466255478	-235233694
B_3215	-466255459	-235233831
B_3214	-466255600	-235233659
B_3213	-466255584	-235233640
B_3212	-466255578	-235233698
B_3211	-466255563	-235233835
B_3210	-466251392	-235234639
B_3209	-466255801	-235234864
B_3208	-466255904	-235242367
B_3207	-466256221	-235245064
B_3206	-466255728	-235236850
B_3205	-466255959	-235239738
B_3204	-466255993	-235242447
B_3203	-466256129	-235244348
B_3202	-466256218	-235244347
B_3201	-466256240	-235244346
B_3200	-466259883	-235231218
B_3199	-466259880	-235231238
B_3198	-466271108	-235229195
B_3197	-466270228	-235229295
B_3196	-466267395	-235229866
B_3195	-466265928	-235230062
B_3194	-466263876	-235230445
B_3193	-466259847	-235231073
B_3192	-466259830	-235231059
B_3191	-466258041	-235231635
B_3190	-466258893	-235231400
B_3189	-466259783	-235231154
B_3188	-466259879	-235231127
B_3187	-466264130	-235208775
B_3186	-466264133	-235208649
B_3185	-466268976	-235229416
B_3184	-466269154	-235229577
B_3183	-466270461	-235201937
B_3182	-466269709	-235201998
B_3181	-466269726	-235201985
B_3180	-466271095	-235201162
B_3179	-466273300	-235232243
B_3178	-466272780	-235229810
B_3177	-466273957	-235228152
B_3176	-466273934	-235228172
B_3175	-466272892	-235229156
B_3174	-466276796	-235225521
B_3173	-466276688	-235225425
B_3172	-466270190	-235201636
B_3171	-466271083	-235201052
B_3170	-466274897	-235201279
B_3169	-466281894	-235222854
B_3168	-466280249	-235223118
B_3167	-466278268	-235224019
B_3166	-466278145	-235201127
B_3165	-466278805	-235200506
B_3164	-466278894	-235200587
B_3163	-466276666	-235200973
B_3162	-466278396	-235200673
B_3161	-466278983	-235200667
B_3160	-466281038	-235200554
B_3159	-466292549	-235220752
B_3158	-466290498	-235221225
B_3157	-466286980	-235221895
B_3156	-466283757	-235222561
B_3155	-466288553	-235221527
B_3154	-466288642	-235221606
B_3153	-466281687	-235200462
B_3152	-466284071	-235200252
B_3151	-466287104	-235200041
B_3150	-466288476	-235200116
B_3149	-466290879	-235203622
B_3148	-466291192	-235205154
B_3147	-466289554	-235200195
B_3146	-466290648	-235201539
B_3145	-466290968	-235203702
B_3144	-466291280	-235205234
B_3143	-466291394	-235206497
B_3142	-466291651	-235208454
B_3141	-466291653	-235208474
B_3140	-466293740	-235207935
B_3139	-466293726	-235207950
B_3138	-466291909	-235210438
B_3137	-466292043	-235211456
B_3136	-466292079	-235211687
B_3135	-466292251	-235212790
B_3134	-466292387	-235214714
B_3133	-466292255	-235212810
B_3132	-466292358	-235213170
B_3131	-466292476	-235214794
B_3130	-466292701	-235217140
B_3129	-466292913	-235218492
B_3128	-466292926	-235219666
B_3127	-466293405	-235222572
B_3125	-466296437	-235219997
B_3124	-466294604	-235220642
B_3123	-466293241	-235221288
Bmi_3297	-466397626	-235251352
Bmi_3293	-466416325	-235217679
Bmi_3288	-466416328	-235217679
Bmi_3286	-466501091	-235227512
Bmi_3277	-466424753	-235240277
Bmi_3275	-466424771	-235240458
B_1245	-466229812	-235245559
B_1244	-466229826	-235246895
B_1243	-466232091	-235253947
B_1242	-466231880	-235246969
B_1241	-466251243	-235254083
B_1240	-466241070	-235254359
B_1239	-466232241	-235255336
B_1238	-466254395	-235247077
B_1237	-466254808	-235254221
B_1236	-466258907	-235245769
B_1235	-466268655	-235243949
B_1234	-466270408	-235243922
B_1233	-466268744	-235244029
B_1232	-466270318	-235243842
B_1231	-466272271	-235243200
B_1230	-466272836	-235243194
B_1229	-466305524	-235215931
B_1228	-466305630	-235216562
B_1227	-466305613	-235216011
B_1226	-466305719	-235216642
B_1225	-466306126	-235217902
B_1224	-466306037	-235217822
B_1223	-466364942	-235202560
B_1222	-466364884	-235202650
B_1221	-466370380	-235209762
B_1220	-466370254	-235209446
B_1219	-466369946	-235208962
B_1218	-466370618	-235210109
B_1217	-466370534	-235209638
B_1216	-466370353	-235209311
B_1215	-466370129	-235208960
B_1214	-466424753	-235240277
B_1213	-466424771	-235240458
B_1212	-466425101	-235240581
B_1211	-466330154	-235195273
B_1210	-466330243	-235195352
B_1209	-466273192	-235237256
B_1208	-466416321	-235217679
B_1207	-466416145	-235217911
B_1206	-466362718	-235197577
B_1205	-466444768	-235231481
B_1204	-466443376	-235230889
B_1203	-466442009	-235230312
B_1202	-466363068	-235200712
B_1201	-466363047	-235200706
B_1200	-466363191	-235201298
B_1199	-466363169	-235201300
B_1198	-466370303	-235209946
B_1197	-466370294	-235209964
B_1196	-466370488	-235210325
B_1195	-466370473	-235210341
B_1194	-466426713	-235247352
B_1193	-466477067	-235216508
B_1192	-466416747	-235238050
B_1191	-466416751	-235238039
B_1190	-466264244	-235244875
B_1189	-466257994	-235245858
B_1188	-466258015	-235245854
B_1187	-466258978	-235245665
B_1186	-466258994	-235245725
B_1185	-466258999	-235245744
B_1184	-466259663	-235245398
B_1183	-466259751	-235245477
B_1182	-466263166	-235235609
B_1181	-466261691	-235235886
B_1180	-466263255	-235235689
B_1179	-466268294	-235244137
B_1178	-466268276	-235244125
B_1177	-466268573	-235243938
B_1176	-466268551	-235243941
B_1175	-466268116	-235244010
B_1174	-466268833	-235234556
B_1173	-466265209	-235235306
B_1172	-466267359	-235234924
B_1171	-466268922	-235234636
B_1170	-466271149	-235234254
B_1169	-466271170	-235234252
B_1168	-466271172	-235234252
B_1167	-466272333	-235233246
B_1166	-466271951	-235234063
B_1165	-466272440	-235233967
B_1164	-466272983	-235243114
B_1163	-466272976	-235243133
B_1162	-466272454	-235243088
B_1161	-466272475	-235243085
B_1160	-466274308	-235242527
B_1159	-466273019	-235243012
B_1158	-466273095	-235238800
B_1157	-466273493	-235238719
B_1156	-466273300	-235232243
B_1155	-466273304	-235232262
B_1154	-466273508	-235233315
B_1153	-466273509	-235233324
B_1152	-466274134	-235233670
B_1151	-466286704	-235231199
B_1150	-466285238	-235231486
B_1149	-466284358	-235231585
B_1148	-466282698	-235231964
B_1147	-466280941	-235232434
B_1146	-466277228	-235233104
B_1145	-466274199	-235233677
B_1144	-466272745	-235235464
B_1143	-466272751	-235235499
B_1142	-466273163	-235237120
B_1141	-466273920	-235242892
B_1140	-466276061	-235242491
B_1139	-466276083	-235242487
B_1138	-466277155	-235232921
B_1137	-466277123	-235233125
B_1136	-466278701	-235232737
B_1135	-466278791	-235232817
B_1134	-466288365	-235230911
B_1133	-466291626	-235230191
B_1132	-466291688	-235230335
B_1131	-466292763	-235230143
B_1130	-466293249	-235223521
B_1129	-466294320	-235229404
B_1128	-466293934	-235229950
B_1127	-466293587	-235225446
B_1126	-466294320	-235229342
B_1125	-466294320	-235229361
B_1124	-466293730	-235222825
B_1123	-466293821	-235223467
B_1122	-466294079	-235225477
B_1121	-466294293	-235226877
B_1120	-466295059	-235225071
B_1119	-466295484	-235227685
B_1118	-466294829	-235222987
B_1117	-466295150	-235225150
B_1116	-466295363	-235226684
B_1115	-466295573	-235227765
B_1114	-466295688	-235229279
B_1113	-466295690	-235229299
B_1112	-466301855	-235228964
B_1111	-466299020	-235229264
B_1110	-466296086	-235229656
B_1109	-466295962	-235171036
B_1108	-466297199	-235177317
B_1107	-466297292	-235177314
B_1106	-466296363	-235174234
B_1105	-466297250	-235177441
B_1104	-466297432	-235177483
B_1103	-466293750	-235207944
B_1102	-466297822	-235202827
B_1101	-466297912	-235202906
B_1100	-466298126	-235202029
B_1099	-466298393	-235202270
B_1098	-466298424	-235196048
B_1097	-466298513	-235196127
B_1096	-466298807	-235196125
B_1095	-466299101	-235196122
B_1094	-466299454	-235200904
B_1093	-466299359	-235201175
B_1092	-466303172	-235217572
B_1091	-466296457	-235219990
B_1090	-466297728	-235219796
B_1089	-466300366	-235219317
B_1088	-466300434	-235217962
B_1087	-466300801	-235174977
B_1086	-466300423	-235172504
B_1085	-466300998	-235221315
B_1084	-466301101	-235221856
B_1083	-466300957	-235219581
B_1082	-466301176	-235221475
B_1081	-466301280	-235222016
B_1080	-466301096	-235222854
B_1079	-466302980	-235177812
B_1078	-466300805	-235174998
B_1077	-466301388	-235222827
B_1076	-466301388	-235222827
B_1075	-466301642	-235224341
B_1074	-466301703	-235224700
B_1073	-466301705	-235224721
B_1072	-466301820	-235226074
B_1071	-466302241	-235228418
B_1070	-466303161	-235180585
B_1069	-466304692	-235204019
B_1068	-466304282	-235203292
B_1067	-466303441	-235180556
B_1066	-466303820	-235205554
B_1065	-466303755	-235207539
B_1064	-466304208	-235210352
B_1063	-466304699	-235204023
B_1062	-466304682	-235204010
B_1061	-466304901	-235184573
B_1060	-466304462	-235184681
B_1059	-466304744	-235184333
B_1058	-466304834	-235184406
B_1057	-466305383	-235215129
B_1056	-466305375	-235215148
B_1055	-466305611	-235215829
B_1054	-466305605	-235215812
B_1053	-466304788	-235212829
B_1052	-466305398	-235215098
B_1051	-466305909	-235217272
B_1050	-466305967	-235204990
B_1049	-466306128	-235217992
B_1048	-466306128	-235218012
B_1047	-466306040	-235218002
B_1046	-466306055	-235218017
B_1045	-466306129	-235218083
B_1044	-466306334	-235218893
B_1043	-466306355	-235219804
B_1042	-466306445	-235219885
B_1041	-466306721	-235222122
B_1040	-466307715	-235226834
B_1039	-466308743	-235231510
B_1038	-466308116	-235228356
B_1037	-466307392	-235225202
B_1036	-466307805	-235226915
B_1035	-466308012	-235227816
B_1034	-466307955	-235204888
B_1033	-466308104	-235194773
B_1032	-466308430	-235205425
B_1031	-466308520	-235205504
B_1030	-466308193	-235194852
B_1029	-466304158	-235184694
B_1028	-466308405	-235185240
B_1027	-466308592	-235185129
B_1026	-466308482	-235194489
B_1025	-466308934	-235196522
B_1024	-466308938	-235196542
B_1023	-466310909	-235201269
B_1022	-466310812	-235202706
B_1021	-466309125	-235204369
B_1020	-466309690	-235204819
B_1019	-466309421	-235204710
B_1018	-466309688	-235204950
B_1017	-466319376	-235196452
B_1016	-466315957	-235197120
B_1015	-466308948	-235196550
B_1014	-466311080	-235198706
B_1013	-466312065	-235198343
B_1012	-466312154	-235198424
B_1011	-466333446	-235223150
B_1010	-466331401	-235225960
B_1009	-466328183	-235228270
B_1008	-466325180	-235230254
B_1007	-466322170	-235232363
B_1006	-466319453	-235234377
B_1005	-466316830	-235236121
B_1004	-466314613	-235237668
B_1003	-466314597	-235237679
B_1002	-466317615	-235235490
B_1001	-466317705	-235235570
B_1000	-466322408	-235196059
B_999	-466326218	-235195721
B_998	-466330332	-235195434
B_997	-466328179	-235195547
B_996	-466331321	-235195644
B_995	-466331343	-235195333
B_994	-466334416	-235195120
B_993	-466334588	-235221814
B_992	-466334825	-235222161
B_991	-466348180	-235212883
B_990	-466343472	-235216167
B_989	-466341062	-235217869
B_988	-466338487	-235219675
B_987	-466336076	-235221377
B_986	-466337761	-235194946
B_985	-466337909	-235194931
B_984	-466341540	-235194568
B_983	-466345140	-235194208
B_982	-466347021	-235194159
B_981	-466345359	-235214316
B_980	-466345625	-235214656
B_979	-466347005	-235213112
B_978	-466347280	-235213543
B_977	-466356409	-235207102
B_976	-466353901	-235208837
B_975	-466351732	-235210417
B_974	-466348894	-235194123
B_973	-466359812	-235197554
B_972	-466358134	-235196579
B_971	-466356363	-235195785
B_970	-466354280	-235194945
B_969	-466354101	-235194898
B_968	-466352873	-235194572
B_967	-466352730	-235194534
B_966	-466354738	-235194752
B_965	-466354917	-235194914
B_964	-466354787	-235195079
B_963	-466356457	-235207070
B_962	-466356440	-235207081
B_961	-466361575	-235199610
B_960	-466361665	-235199720
B_959	-466362305	-235200147
B_914	-466391351	-235230342
B_913	-466388848	-235229118
B_912	-466386601	-235228021
B_911	-466385850	-235227654
B_910	-466386172	-235244423
B_909	-466386126	-235243790
B_908	-466388594	-235217767
B_907	-466388683	-235217848
B_906	-466390936	-235241574
B_905	-466386561	-235244148
B_904	-466387432	-235243325
B_903	-466390457	-235218731
B_902	-466393557	-235215990
B_901	-466391316	-235216917
B_900	-466390933	-235217643
B_899	-466385134	-235204934
B_898	-466388308	-235203449
B_897	-466390812	-235202383
B_896	-466392775	-235239839
B_895	-466389463	-235241318
B_894	-466389708	-235241098
B_893	-466390700	-235240202
B_892	-466391501	-235239484
B_891	-466390830	-235202374
B_890	-466392755	-235202515
B_889	-466393221	-235218893
B_888	-466393201	-235218884
B_887	-466395843	-235235565
B_886	-466394788	-235236474
B_885	-466394775	-235236486
B_884	-466393646	-235237579
B_883	-466393640	-235237584
B_882	-466392215	-235238842
B_881	-466394366	-235231815
B_880	-466396974	-235233058
B_879	-466397438	-235233279
B_878	-466394598	-235219429
B_877	-466394776	-235219590
B_876	-466391813	-235204098
B_875	-466392980	-235206504
B_874	-466394194	-235209193
B_873	-466395009	-235211867
B_872	-466397250	-235215158
B_871	-466395216	-235215521
B_826	-466402834	-235236037
B_825	-466402815	-235236029
B_824	-466401272	-235214284
B_823	-466402951	-235244220
B_822	-466403046	-235244077
B_821	-466404058	-235212759
B_820	-466403946	-235212847
B_819	-466403826	-235212939
B_818	-466405082	-235245127
B_817	-466405755	-235236829
B_816	-466401834	-235243897
B_815	-466403273	-235241352
B_814	-466404904	-235238627
B_813	-466405572	-235237266
B_812	-466405966	-235237442
B_811	-466405311	-235221864
B_810	-466406247	-235220272
B_809	-466406849	-235246170
B_808	-466406954	-235246010
B_807	-466406499	-235219840
B_806	-466406687	-235219183
B_805	-466407147	-235220624
B_804	-466406998	-235220570
B_803	-466407387	-235220260
B_802	-466407176	-235220183
B_801	-466407301	-235233825
B_800	-466408011	-235246356
B_799	-466407938	-235246450
B_798	-466406786	-235219238
B_797	-466407208	-235217490
B_796	-466410969	-235239861
B_795	-466408144	-235238512
B_794	-466408233	-235238592
B_793	-466402666	-235214112
B_792	-466404300	-235214067
B_791	-466406688	-235214891
B_790	-466410900	-235216711
B_789	-466410112	-235216358
B_788	-466408141	-235215385
B_787	-466407588	-235217704
B_786	-466407959	-235217068
B_785	-466408459	-235216223
B_784	-466408470	-235216206
B_783	-466409551	-235226387
B_738	-466419733	-235244291
B_737	-466418109	-235243511
B_736	-466416726	-235242846
B_735	-466416708	-235242837
B_734	-466416386	-235217590
B_733	-466416376	-235217608
B_732	-466417413	-235236509
B_731	-466419226	-235212352
B_730	-466418651	-235213443
B_729	-466418078	-235214533
B_728	-466417440	-235216223
B_727	-466417286	-235216179
B_726	-466417130	-235216063
B_725	-466417637	-235237960
B_724	-466417726	-235238040
B_723	-466419942	-235211468
B_722	-466419798	-235211356
B_721	-466420134	-235220758
B_720	-466428722	-235224469
B_719	-466423799	-235222354
B_718	-466420175	-235220775
B_717	-466420155	-235220767
B_716	-466420295	-235231250
B_715	-466420384	-235231329
B_714	-466423842	-235210072
B_713	-466421008	-235210554
B_712	-466421446	-235245054
B_711	-466421534	-235245134
B_710	-466421642	-235221392
B_709	-466421730	-235221473
B_708	-466422659	-235255968
B_707	-466423280	-235253458
B_706	-466422748	-235256048
B_705	-466423401	-235253513
B_704	-466424553	-235242854
B_703	-466424144	-235250164
B_702	-466424700	-235248100
B_701	-466424976	-235246181
B_700	-466424705	-235248081
B_699	-466431584	-235249904
B_698	-466428430	-235248402
B_697	-466426691	-235247547
B_696	-466425376	-235246900
B_695	-466424884	-235246634
B_650	-466434788	-235227177
B_649	-466432963	-235226391
B_648	-466433701	-235237438
B_647	-466433861	-235237666
B_646	-466435169	-235238136
B_645	-466435240	-235238284
B_644	-466439549	-235229238
B_643	-466437855	-235228483
B_642	-466436401	-235227865
B_641	-466437374	-235240448
B_640	-466437462	-235240245
B_639	-466437604	-235239342
B_638	-466437897	-235213364
B_637	-466437986	-235213445
B_636	-466439834	-235214029
B_635	-466441041	-235214948
B_634	-466439744	-235214114
B_633	-466441651	-235214959
B_632	-466441496	-235215134
B_631	-466442105	-235237897
B_630	-466443451	-235234708
B_629	-466444397	-235216275
B_628	-466444486	-235216356
B_627	-466443540	-235234788
B_626	-466445073	-235232063
B_625	-466445208	-235231806
B_624	-466445263	-235231699
B_623	-466448520	-235225795
B_622	-466446798	-235229064
B_621	-466445934	-235230518
B_620	-466445851	-235216511
B_619	-466445849	-235216967
B_618	-466451466	-235234252
B_617	-466448315	-235232931
B_616	-466446937	-235232314
B_615	-466447378	-235227622
B_614	-466447467	-235227702
B_613	-466450493	-235219002
B_612	-466447653	-235217761
B_611	-466447633	-235217752
B_610	-466449579	-235223536
B_609	-466449668	-235223616
B_608	-466449900	-235233556
B_607	-466449988	-235233636
B_562	-466462480	-235221659
B_561	-466461248	-235223897
B_560	-466461597	-235223199
B_559	-466463213	-235220377
B_558	-466461461	-235209800
B_557	-466463918	-235210618
B_556	-466462382	-235221811
B_555	-466462762	-235221245
B_554	-466463340	-235220491
B_553	-466464375	-235218395
B_552	-466464108	-235219219
B_551	-466464488	-235218402
B_550	-466463812	-235210814
B_549	-466472230	-235228659
B_548	-466471053	-235228115
B_547	-466467728	-235226841
B_546	-466467703	-235226709
B_545	-466466117	-235215404
B_544	-466466269	-235211881
B_543	-466469901	-235213504
B_542	-466468533	-235212850
B_541	-466467745	-235212498
B_540	-466469100	-235211204
B_539	-466469374	-235210250
B_538	-466468133	-235212133
B_537	-466468617	-235211272
B_536	-466468749	-235211047
B_535	-466469205	-235210184
B_534	-466469663	-235209317
B_533	-466469950	-235208681
B_532	-466470626	-235207070
B_531	-466471137	-235206233
B_530	-466474201	-235229440
B_529	-466472265	-235228672
B_528	-466472342	-235204211
B_527	-466471041	-235206087
B_526	-466471601	-235205231
B_525	-466472692	-235214684
B_524	-466472683	-235214834
B_523	-466473676	-235215306
B_522	-466474496	-235218744
B_521	-466474651	-235215823
B_520	-466477644	-235230931
B_519	-466476650	-235230398
B_474	-466478180	-235193334
B_473	-466478469	-235192879
B_472	-466479619	-235190790
B_471	-466480590	-235189049
B_470	-466480600	-235189031
B_469	-466481949	-235232729
B_468	-466481926	-235232800
B_467	-466481659	-235218609
B_466	-466481748	-235218689
B_465	-466481926	-235218850
B_464	-466484684	-235223094
B_463	-466482128	-235222304
B_462	-466482257	-235221948
B_461	-466483894	-235210891
B_460	-466483791	-235210861
B_459	-466484797	-235209543
B_458	-466484613	-235209525
B_457	-466487659	-235224368
B_456	-466484488	-235206894
B_455	-466484990	-235208812
B_454	-466485159	-235205794
B_453	-466485509	-235207894
B_452	-466484801	-235207024
B_451	-466485743	-235207431
B_450	-466484828	-235223154
B_449	-466492071	-235223438
B_448	-466490495	-235222731
B_447	-466487745	-235221500
B_446	-466486042	-235220738
B_445	-466485341	-235205850
B_444	-466486259	-235206413
B_443	-466487134	-235205346
B_442	-466486888	-235205360
B_441	-466488001	-235207888
B_440	-466495267	-235211800
B_439	-466493869	-235211154
B_438	-466493257	-235210894
B_437	-466490784	-235209731
B_436	-466487767	-235208413
B_435	-466487845	-235221504
B_434	-466487934	-235221586
B_433	-466490788	-235226850
B_432	-466490800	-235226831
B_431	-466490900	-235226663
B_386	-466509408	-235201625
B_385	-466507672	-235200715
B_384	-466507850	-235200875
B_383	-466510518	-235202029
B_382	-466511428	-235203127
B_381	-466510590	-235202149
B_380	-466511394	-235203098
B_379	-466511716	-235202668
B_378	-466513059	-235203349
B_377	-466514636	-235204054
B_376	-466515573	-235204506
Bmi_3263	-466370861	-235218292
Bmi_3258	-466370866	-235218292
B_3429	-466229870	-235245556
B_3428	-466229887	-235246888
B_3427	-466232313	-235253984
B_3426	-466231929	-235246966
B_3425	-466251212	-235254088
B_3424	-466241087	-235254368
B_3423	-466232374	-235254506
B_3422	-466254428	-235247104
B_3421	-466254794	-235254225
B_3420	-466259238	-235246491
B_3419	-466270524	-235244652
B_3418	-466273584	-235244068
B_3417	-466270613	-235244733
B_3416	-466273559	-235243971
B_3415	-466274975	-235243786
B_3414	-466274823	-235243795
B_3413	-466274912	-235243875
B_3412	-466376271	-235222929
B_3411	-466374093	-235221874
B_3410	-466372208	-235220931
B_3409	-466372199	-235220927
B_3408	-466376611	-235244293
B_3407	-466376576	-235244352
B_3406	-466376508	-235244473
B_3405	-466377026	-235246539
B_3404	-466259372	-235246494
B_3403	-466259369	-235246474
B_3402	-466258005	-235246850
B_3401	-466259380	-235246572
B_3400	-466269442	-235245016
B_958	-466362408	-235200235
B_957	-466362901	-235200660
B_956	-466357838	-235206075
B_955	-466358996	-235205156
B_954	-466361146	-235203422
B_953	-466362924	-235201774
B_952	-466363017	-235201321
B_951	-466364863	-235215712
B_950	-466366336	-235215563
B_949	-466366426	-235215644
B_948	-466368574	-235215170
B_947	-466370144	-235215424
B_946	-466370359	-235210359
B_945	-466370276	-235210227
B_944	-466370218	-235210134
B_943	-466370576	-235210724
B_942	-466370398	-235210421
B_941	-466369644	-235214525
B_940	-466370703	-235213070
B_939	-466370794	-235211724
B_938	-466370883	-235211804
B_937	-466372546	-235215691
B_936	-466372524	-235215692
B_935	-466373590	-235216923
B_934	-466373612	-235216923
B_933	-466375353	-235216904
B_932	-466375434	-235215549
B_931	-466376409	-235223012
B_930	-466387011	-235217233
B_929	-466385638	-235217067
B_928	-466383287	-235217000
B_927	-466379663	-235216949
B_926	-466377626	-235216881
B_925	-466377605	-235216881
B_924	-466376513	-235225425
B_923	-466377715	-235225123
B_922	-466382843	-235226183
B_921	-466382805	-235226164
B_920	-466380200	-235224873
B_919	-466379040	-235224286
B_918	-466381336	-235216850
B_917	-466381425	-235216931
B_916	-466382655	-235205887
B_915	-466384733	-235204885
B_870	-466395015	-235211886
B_869	-466397534	-235199884
B_868	-466396341	-235201373
B_867	-466396329	-235201389
B_866	-466397042	-235220649
B_865	-466398770	-235249227
B_864	-466398619	-235249492
B_863	-466398280	-235250083
B_862	-466397666	-235251292
B_861	-466395953	-235235471
B_860	-466397823	-235233506
B_859	-466402684	-235235964
B_858	-466400515	-235234869
B_857	-466399661	-235234438
B_856	-466397851	-235233477
B_855	-466397912	-235233400
B_854	-466398079	-235233191
B_853	-466395976	-235214562
B_852	-466398234	-235214202
B_851	-466398441	-235214946
B_850	-466398529	-235221275
B_849	-466398629	-235221400
B_848	-466399701	-235245531
B_847	-466399734	-235231710
B_846	-466399726	-235231727
B_845	-466400072	-235246733
B_844	-466399644	-235245463
B_843	-466399722	-235245521
B_842	-466399188	-235248499
B_841	-466399199	-235248481
B_840	-466400172	-235246819
B_839	-466400296	-235198617
B_838	-466400188	-235198848
B_837	-466400508	-235213710
B_836	-466400786	-235229559
B_835	-466400875	-235229639
B_834	-466401546	-235228458
B_833	-466400405	-235246031
B_832	-466403899	-235244506
B_831	-466402323	-235243711
B_830	-466401940	-235227027
B_829	-466402118	-235227188
B_828	-466405496	-235237223
B_827	-466404291	-235236556
B_782	-466405763	-235236812
B_781	-466407392	-235233904
B_780	-466410459	-235228545
B_779	-466412900	-235227977
B_778	-466411618	-235227268
B_777	-466412379	-235240371
B_776	-466412305	-235240500
B_775	-466412712	-235224733
B_774	-466411125	-235227002
B_773	-466411415	-235226638
B_772	-466412182	-235225366
B_771	-466412387	-235217425
B_770	-466412476	-235217506
B_769	-466418612	-235230536
B_768	-466414278	-235228504
B_767	-466412955	-235227999
B_766	-466412936	-235227991
B_765	-466413296	-235224161
B_764	-466412565	-235224692
B_763	-466412853	-235224185
B_762	-466414151	-235218302
B_761	-466413380	-235217869
B_760	-466413362	-235217859
B_759	-466413344	-235222689
B_758	-466415624	-235242306
B_757	-466414203	-235241472
B_756	-466414070	-235242804
B_755	-466415405	-235240413
B_754	-466414878	-235241327
B_753	-466412917	-235224054
B_752	-466413522	-235222824
B_751	-466414480	-235221188
B_750	-466415142	-235220115
B_749	-466415153	-235220097
B_748	-466416413	-235219091
B_747	-466415630	-235219189
B_746	-466415724	-235218737
B_745	-466416334	-235217663
B_744	-466415988	-235239242
B_743	-466416076	-235239322
B_742	-466415961	-235229218
B_741	-466416050	-235229299
B_740	-466423609	-235245862
B_739	-466423063	-235245648
B_694	-466426570	-235240475
B_693	-466424642	-235242934
B_692	-466425722	-235243194
B_691	-466425200	-235240579
B_690	-466425580	-235223067
B_689	-466425669	-235223147
B_688	-466426103	-235241483
B_687	-466426192	-235241563
B_686	-466426187	-235209596
B_685	-466425751	-235237685
B_684	-466427307	-235236765
B_683	-466426930	-235237943
B_682	-466426767	-235208244
B_681	-466426855	-235208325
B_680	-466428512	-235231244
B_679	-466427763	-235234142
B_678	-466430709	-235236164
B_677	-466427969	-235234848
B_676	-466427950	-235234839
B_675	-466429169	-235228175
B_674	-466429258	-235228256
B_673	-466436313	-235212740
B_672	-466434246	-235211949
B_671	-466433358	-235211417
B_670	-466431976	-235210619
B_669	-466431191	-235210356
B_668	-466429418	-235209562
B_667	-466429820	-235249029
B_666	-466429909	-235249109
B_665	-466430878	-235225469
B_664	-466429813	-235225631
B_663	-466429819	-235225613
B_662	-466430001	-235224998
B_661	-466430278	-235223640
B_660	-466430745	-235221829
B_659	-466430455	-235222945
B_658	-466432417	-235214497
B_657	-466431675	-235217846
B_656	-466430787	-235221694
B_655	-466430783	-235221714
B_654	-466431216	-235218681
B_653	-466431394	-235218842
B_652	-466431958	-235216136
B_651	-466432047	-235216217
B_606	-466450941	-235223602
B_605	-466450336	-235222364
B_604	-466450248	-235222977
B_603	-466451476	-235219443
B_602	-466453426	-235220317
B_601	-466450338	-235222345
B_600	-466451104	-235220892
B_599	-466452061	-235219166
B_598	-466451773	-235219620
B_597	-466452551	-235218421
B_596	-466452542	-235218438
B_595	-466453213	-235217256
B_594	-466453230	-235216291
B_593	-466453498	-235216531
B_592	-466453628	-235218345
B_591	-466453717	-235218425
B_590	-466453786	-235216077
B_589	-466454743	-235214261
B_588	-466454301	-235214935
B_587	-466454359	-235214988
B_586	-466454486	-235216440
B_585	-466454575	-235216520
B_584	-466455419	-235212727
B_583	-466455508	-235212808
B_582	-466456391	-235221731
B_581	-466453447	-235220325
B_580	-466455025	-235221211
B_579	-466456207	-235221741
B_578	-466455779	-235234568
B_577	-466456505	-235232842
B_576	-466456976	-235211989
B_575	-466457066	-235212069
B_574	-466458945	-235228493
B_573	-466456230	-235221750
B_572	-466457683	-235222356
B_571	-466458667	-235222708
B_570	-466464450	-235225206
B_569	-466462101	-235224143
B_568	-466456476	-235232892
B_567	-466457422	-235231225
B_566	-466458061	-235230084
B_565	-466458690	-235228456
B_564	-466460598	-235225127
B_563	-466460045	-235223235
B_518	-466476619	-235230470
B_517	-466474592	-235218564
B_516	-466475294	-235218893
B_515	-466476920	-235216724
