
SYMMETRICAL COMPONENT PHASE-PHASE VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3015     13,13          0   0,002712    0,02064 1,364E-015 1,039E-014
2829     13,15          0    0,00323    0,02456 1,364E-015 1,037E-014
2291     13,16          0   0,002913    0,02213 1,438E-015 1,093E-014
2286     13,16          0   0,002909     0,0221 1,875E-015 1,424E-014
1016     13,02          0   0,009719    0,07467 1,592E-015 1,223E-014
14       13,04          0   0,007088    0,05434 1,655E-015 1,269E-014
426      13,01          0   0,006883    0,05291 1,833E-015 1,409E-014
3014     13,13          0   0,002707    0,02061 1,137E-015 8,657E-015
3013     13,13          0   0,002712    0,02064 1,137E-015 8,655E-015
2828     13,15          0   0,003256    0,02476 1,819E-015 1,383E-014
2290     13,16          0    0,00293    0,02227 1,655E-015 1,258E-014
2283     13,16          0   0,002909     0,0221 2,046E-015 1,555E-014
2282     13,16          0   0,002909     0,0221 1,438E-015 1,093E-014
2000     13,06          0   0,008146    0,06238 1,875E-015 1,436E-014
1158     12,99          0    0,00851    0,06549 2,096E-015 1,613E-014
3011     13,13          0   0,002707    0,02061 2,046E-015 1,558E-014
3009     13,13          0   0,002705     0,0206 2,046E-015 1,558E-014
3012     13,13          0   0,002712    0,02064 1,364E-015 1,039E-014
2827     13,15          0   0,003274     0,0249 1,875E-015 1,426E-014
2294     13,16          0   0,002938    0,02233 1,655E-015 1,258E-014
1014     13,02          0   0,009725    0,07471 1,875E-015 1,44E-014
1999     13,06          0   0,008146    0,06238 1,875E-015 1,436E-014
2003     13,06          0   0,008163    0,06251 2,096E-015 1,605E-014
40       13,04          0   0,007088    0,05434 1,137E-015 8,716E-015
30       13,04          0   0,007088    0,05434 1,655E-015 1,269E-014
572      13,01          0   0,006873    0,05285 2,319E-015 1,783E-014
540      13,01          0   0,006883    0,05291 1,875E-015 1,441E-014
1157     12,99          0    0,00851    0,06549 2,096E-015 1,613E-014
1162     12,99          0   0,008525    0,06561 1,137E-015 8,75E-015
3010     13,13          0   0,002707    0,02061 2,046E-015 1,558E-014
3008     13,13          0   0,002702    0,02058 1,137E-015 8,659E-015
2826     13,15          0   0,003291    0,02503 1,819E-015 1,383E-014
2293     13,16          0   0,002938    0,02233 1,655E-015 1,258E-014
2289     13,16          0    0,00295    0,02242 1,137E-015 8,641E-015
1013     13,01          0   0,009836    0,07558 2,096E-015 1,611E-014
1010     13,02          0   0,009725    0,07471 1,819E-015 1,397E-014
2005     13,06          0   0,008171    0,06258 1,875E-015 1,436E-014
39       13,04          0   0,007087    0,05433 1,655E-015 1,269E-014
31       13,04          0   0,007088    0,05434 2,096E-015 1,607E-014
580         13          0   0,006864    0,05279 1,819E-015 1,399E-014
539      13,01          0   0,006883    0,05291 1,017E-015 7,817E-015
