
LINE-GROUND and LINE-LINE VOLTAGES BY BUS & NODE

Bus  Node    VLN (kV)   Angle      pu     Base kV    Node-Node   VLL (kV)  Angle      pu

12 . 1       7,5463 /_  -35,5         0     0,000        1-2     13,066 /_   -5,4         0
   - 2       7,5456 /_ -155,4         0     0,000        2-3     13,071 /_ -125,4         0
   - 3       7,5488 /_   84,6         0     0,000        3-1     13,078 /_  114,6         0
434  1       7,5424 /_  -35,5         0     0,000        1-2     13,059 /_   -5,5         0
   - 2       7,5416 /_ -155,4         0     0,000        2-3     13,064 /_ -125,4         0
   - 3       7,5449 /_   84,6         0     0,000        3-1     13,071 /_  114,5         0
1103 1        7,545 /_  -35,5         0     0,000        1-2     13,064 /_   -5,5         0
   - 2       7,5449 /_ -155,4         0     0,000        2-3      13,07 /_ -125,4         0
   - 3        7,548 /_   84,6         0     0,000        3-1     13,076 /_  114,5         0
2923 1       7,5926 /_  -34,2         0     0,000        1-2     13,148 /_   -4,2         0
   - 2       7,5898 /_ -154,2         0     0,000        2-3     13,148 /_ -124,2         0
   - 3        7,593 /_   85,8         0     0,000        3-1     13,152 /_  115,8         0
2646 1       7,6022 /_  -34,5         0     0,000        1-2     13,165 /_   -4,5         0
   - 2        7,598 /_ -154,5         0     0,000        2-3     13,163 /_ -124,5         0
   - 3       7,6024 /_   85,5         0     0,000        3-1     13,168 /_  115,5         0
2227 1       7,6105 /_  -34,5         0     0,000        1-2     13,179 /_   -4,5         0
   - 2       7,6067 /_ -154,5         0     0,000        2-3     13,177 /_ -124,5         0
   - 3       7,6107 /_   85,5         0     0,000        3-1     13,182 /_  115,5         0
931  1       7,5467 /_  -35,5         0     0,000        1-2     13,067 /_   -5,4         0
   - 2       7,5467 /_ -155,4         0     0,000        2-3     13,073 /_ -125,4         0
   - 3       7,5497 /_   84,6         0     0,000        3-1     13,079 /_  114,6         0
1974 1       7,5469 /_  -35,5         0     0,000        1-2     13,067 /_   -5,5         0
   - 2       7,5465 /_ -155,4         0     0,000        2-3     13,073 /_ -125,4         0
   - 3       7,5498 /_   84,6         0     0,000        3-1      13,08 /_  114,5         0
1102 1       7,5372 /_  -35,5         0     0,000        1-2      13,05 /_   -5,5         0
   - 2       7,5376 /_ -155,5         0     0,000        2-3     13,057 /_ -125,5         0
   - 3       7,5406 /_   84,5         0     0,000        3-1     13,063 /_  114,5         0
2926 1       7,5915 /_  -34,2         0     0,000        1-2     13,146 /_   -4,2         0
   - 2       7,5887 /_ -154,2         0     0,000        2-3     13,146 /_ -124,2         0
   - 3       7,5919 /_   85,8         0     0,000        3-1      13,15 /_  115,8         0
2649 1       7,6002 /_  -34,5         0     0,000        1-2     13,161 /_   -4,5         0
