
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3259     48,69          0    0,01196    0,02456 3,305E-009 6,788E-009
572      7,509          0   0,003968    0,05285  0,001708   0,02275
540      7,511          0   0,003974    0,05291  0,001756   0,02338
1157     7,502          0   0,004913    0,06549  0,003847   0,05129
1162     7,502          0   0,004922    0,06561  0,003869   0,05158
3010     7,582          0   0,001563    0,02061 0,0005058  0,006672
3008      7,58          0    0,00156    0,02058  0,000521  0,006873
2826     7,591          0     0,0019    0,02503  0,001722   0,02268
2293     7,597          0   0,001696    0,02233  0,001608   0,02117
2289     7,596          0   0,001703    0,02242  0,001628   0,02143
1013     7,514          0   0,005679    0,07558  0,004668   0,06213
1010     7,515          0   0,005615    0,07471  0,004579   0,06093
2005     7,539          0   0,004718    0,06258  0,002936   0,03895
39       7,531          0   0,004091    0,05433     0,002   0,02655
31       7,531          0   0,004092    0,05434  0,002012   0,02672
580      7,508          0   0,003963    0,05279  0,001662   0,02213
539      7,511          0   0,003974    0,05291  0,001756   0,02338
1156     7,502          0   0,004913    0,06549  0,003847   0,05129
1161     7,502          0   0,004922    0,06561  0,003869   0,05158
1155     7,499          0    0,00497    0,06628  0,003992   0,05323
2999     7,582          0   0,001563    0,02061 0,0005058  0,006672
2825      7,59          0   0,001914    0,02522   0,00175   0,02306
2288     7,595          0   0,001713    0,02255  0,001656    0,0218
1012     7,512          0   0,005771    0,07682  0,004794   0,06383
1009     7,514          0   0,005679    0,07558  0,004668   0,06213
2004     7,539          0   0,004717    0,06258  0,002936   0,03895
2002     7,538          0   0,004733    0,06278  0,002956   0,03921
38       7,531          0   0,004091    0,05432  0,001992   0,02645
32       7,531          0   0,004092    0,05434  0,002012   0,02672
579      7,506          0   0,003957    0,05272    0,0016   0,02132
538      7,511          0   0,003974    0,05291  0,001756   0,02338
1170     7,497          0   0,005013    0,06687  0,004099   0,05469
2998     7,582          0   0,001563    0,02061 0,0005058  0,006672
3004     7,579          0   0,001557    0,02054 0,0005398  0,007122
2824     7,589          0   0,001927    0,02539  0,001777   0,02341
2296     7,594          0    0,00172    0,02265  0,001677   0,02209
1011     7,509          0    0,00587    0,07817  0,004929   0,06564
2007     7,538          0   0,004749      0,063  0,002977   0,03949
37       7,531          0   0,004091    0,05432   0,00199   0,02643
33       7,531          0   0,004092    0,05434  0,002012   0,02672
618      7,506          0   0,003957    0,05272  0,001599    0,0213
1169     7,497          0   0,005013    0,06687  0,004099   0,05469
1167     7,496          0   0,005016    0,06692  0,004105   0,05476
2997     7,582          0   0,001563    0,02061 0,0005058  0,006672
3003     7,577          0   0,001554    0,02051 0,0005606  0,007399
2805     7,588          0   0,001938    0,02554  0,001801   0,02373
2295     7,594          0    0,00172    0,02265  0,001677   0,02209
2287     7,593          0   0,001728    0,02276  0,001699   0,02237
1008     7,508          0   0,005939     0,0791  0,005022   0,06689
2006     7,538          0   0,004749      0,063  0,002977   0,03949
2009     7,538          0    0,00476    0,06315  0,002991   0,03969
36        7,53          0   0,004089     0,0543  0,001967   0,02612
617      7,506          0   0,003957    0,05272  0,001599    0,0213
571      7,505          0   0,003954    0,05268  0,001567   0,02088
2996     7,582          0   0,001563    0,02061 0,0005058  0,006672
3002     7,575          0    0,00155    0,02046 0,0005853  0,007727
2989     7,576          0   0,001554    0,02051 0,0005606    0,0074
2806     7,587          0    0,00195     0,0257  0,001825   0,02405
2302     7,593          0   0,001735    0,02285  0,001717   0,02261
1007     7,505          0   0,005916    0,07883  0,005014   0,06681
1006     7,507          0   0,005981    0,07967  0,005073   0,06758
2008     7,538          0    0,00476    0,06315  0,002991   0,03969
2011     7,538          0   0,004765    0,06321  0,002997   0,03976
35        7,53          0   0,004087    0,05428  0,001944   0,02582
616      7,506          0   0,003957    0,05272  0,001599    0,0213
570      7,503          0   0,003948    0,05262  0,001508    0,0201
1110     7,497          0   0,005013    0,06687  0,004099   0,05469
1112     7,496          0   0,005025    0,06703  0,004118   0,05493
2958     7,582          0   0,001563    0,02061 0,0005058  0,006672
2982     7,573          0   0,001547    0,02042  0,000607  0,008015
2804     7,587          0   0,001957    0,02579  0,001839   0,02423
2301     7,593          0   0,001735    0,02285  0,001717   0,02262
2299     7,593          0   0,001735    0,02285  0,001717   0,02261
992      7,504          0   0,005905     0,0787  0,005013    0,0668
950      7,505          0   0,005916    0,07883  0,005013   0,06679
1002     7,507          0   0,005981    0,07967  0,005073   0,06758
2010     7,538          0   0,004767    0,06324  0,002997   0,03976
2001     7,538          0   0,004769    0,06326  0,003003   0,03984
34       7,529          0   0,004085    0,05425   0,00191   0,02537
559      7,501          0   0,003944    0,05257   0,00146   0,01947
1113     7,497          0   0,005013    0,06687  0,004099   0,05469
1111     7,494          0   0,005054    0,06745  0,004163   0,05554
2954     7,582          0   0,001563    0,02061 0,0005058  0,006672
2808     7,586          0   0,001962    0,02587  0,001846   0,02433
2298     7,593          0   0,001735    0,02285  0,001717   0,02261
994      7,505          0   0,005916    0,07882  0,005009   0,06674
998      7,507          0   0,005981    0,07967  0,005073   0,06758
1004     7,507          0   0,005985    0,07972  0,005078   0,06764
2016     7,538          0   0,004776    0,06336  0,003014   0,03999
60       7,528          0   0,004082    0,05422  0,001865   0,02477
569      7,499          0   0,003939    0,05252    0,0014   0,01867
1114     7,497          0   0,005013    0,06687  0,004099   0,05469
1115     7,492          0   0,005101    0,06809  0,004232   0,05649
2944     7,581          0   0,001563    0,02061 0,0005059  0,006672
2943     7,581          0   0,001563    0,02061 0,0005058  0,006672
2969     7,572          0   0,001545    0,02041  0,000617  0,008148
2807     7,586          0   0,001962    0,02587  0,001846   0,02433
2810     7,586          0   0,001966    0,02591  0,001853   0,02442
2232     7,593          0   0,001736    0,02286  0,001718   0,02263
951      7,503          0   0,005897    0,07859  0,005011    0,0668
993      7,506          0          0          0         0         0
949      7,505          0   0,005915    0,07882  0,005008   0,06674
997      7,507          0   0,005981    0,07967  0,005073   0,06758
1000     7,507          0   0,005981    0,07967  0,005073   0,06758
1003     7,507          0   0,005989    0,07977  0,005082    0,0677
2015     7,538          0   0,004776    0,06336  0,003014   0,03999
2013     7,538          0   0,004777    0,06337  0,003015      0,04
59       7,528          0   0,004081    0,05422  0,001864   0,02476
568      7,498          0   0,003935    0,05248  0,001353   0,01805
1183     7,497          0   0,005013    0,06687  0,004099   0,05469
1182     7,492          0   0,005104    0,06813  0,004236   0,05654
2942     7,581          0   0,001563    0,02061 0,0005059  0,006672
2941     7,581          0   0,001563    0,02061 0,0005059  0,006672
2970     7,572          0   0,001545     0,0204 0,0006192  0,008177
2809     7,586          0   0,001966    0,02591  0,001853   0,02442
2812     7,585          0   0,001982    0,02613  0,001885   0,02485
2231     7,592          0   0,001744    0,02298  0,001739    0,0229
2235     7,593          0   0,001735    0,02285  0,001717   0,02261
948      7,505          0   0,005914    0,07881  0,005007   0,06672
999      7,507          0   0,005981    0,07967  0,005073   0,06758
926      7,507          0   0,006047    0,08055  0,005147   0,06856
