CAI  0109;3268;Bmi_3550;1;13,80;-46,6324684;-23,5285974;;
CAI  0109;3268;Bmi_3545;2;13,80;-46,6324688;-23,5285974;;
CAI  0109;3268;Bmi_3544;3;13,80;-46,6375896;-23,5303023;;
CAI  0109;3268;B_8827;4;13,80;-46,6254782;-23,5254297;;
CAI  0109;3268;B_8826;5;13,80;-46,6251226;-23,5254158;;
CAI  0109;3268;B_8825;6;13,80;-46,6241151;-23,5254436;;
CAI  0109;3268;B_8824;7;13,80;-46,6240966;-23,5254444;;
CAI  0109;3268;B_8823;8;13,80;-46,6232055;-23,5254800;;
CAI  0109;3268;B_8822;9;13,80;-46,6231942;-23,5254711;;
CAI  0109;3268;B_8821;10;13,80;-46,6231495;-23,5249381;;
CAI  0109;3268;B_8820;11;13,80;-46,6231805;-23,5243868;;
CAI  0109;3268;B_8819;12;13,80;-46,6231490;-23,5249210;;
CAI  0109;3268;B_8817;13;13,80;-46,6231737;-23,5243774;;
CAI  0109;3268;B_8816;14;13,80;-46,6256728;-23,5257594;;
CAI  0109;3268;B_8815;15;13,80;-46,6254893;-23,5254369;;
CAI  0109;3268;B_8814;16;13,80;-46,6375954;-23,5302852;;
CAI  0109;3268;B_8813;17;13,80;-46,6375896;-23,5303023;;
CAI  0109;3268;B_8812;18;13,80;-46,6376115;-23,5302233;;
CAI  0109;3268;B_8811;19;13,80;-46,6376816;-23,5291247;;
CAI  0109;3268;B_8810;20;13,80;-46,6374323;-23,5291956;;
CAI  0109;3268;B_8809;21;13,80;-46,6368601;-23,5286673;;
CAI  0109;3268;B_8808;22;13,80;-46,6369884;-23,5289475;;
CAI  0109;3268;B_8807;23;13,80;-46,6369884;-23,5289477;;
CAI  0109;3268;B_8806;24;13,80;-46,6370671;-23,5291204;;
CAI  0109;3268;B_8805;25;13,80;-46,6370701;-23,5291268;;
CAI  0109;3268;B_8804;26;13,80;-46,6371455;-23,5292793;;
CAI  0109;3268;B_8803;27;13,80;-46,6285208;-23,5273412;;
CAI  0109;3268;B_8802;28;13,80;-46,6285190;-23,5273272;;
CAI  0109;3268;B_8801;29;13,80;-46,6285598;-23,5261654;;
CAI  0109;3268;B_8800;30;13,80;-46,6256795;-23,5257631;;
CAI  0109;3268;B_8799;31;13,80;-46,6256793;-23,5257562;;
CAI  0109;3268;B_8798;32;13,80;-46,6256790;-23,5257477;;
CAI  0109;3268;B_8797;33;13,80;-46,6256776;-23,5257024;;
CAI  0109;3268;B_8796;34;13,80;-46,6263523;-23,5259571;;
CAI  0109;3268;B_8795;35;13,80;-46,6260890;-23,5259327;;
CAI  0109;3268;B_8794;36;13,80;-46,6259140;-23,5259165;;
CAI  0109;3268;B_8793;37;13,80;-46,6257362;-23,5259000;;
CAI  0109;3268;B_8792;38;13,80;-46,6257326;-23,5258973;;
CAI  0109;3268;B_8791;39;13,80;-46,6256851;-23,5258614;;
CAI  0109;3268;B_8790;40;13,80;-46,6256801;-23,5257794;;
CAI  0109;3268;B_8789;41;13,80;-46,6256797;-23,5257716;;
CAI  0109;3268;B_8788;42;13,80;-46,6284055;-23,5264666;;
CAI  0109;3268;B_8787;43;13,80;-46,6282644;-23,5267323;;
CAI  0109;3268;B_8786;44;13,80;-46,6282642;-23,5267329;;
CAI  0109;3268;B_8785;45;13,80;-46,6281759;-23,5269256;;
CAI  0109;3268;B_8784;46;13,80;-46,6281748;-23,5269279;;
CAI  0109;3268;B_8783;47;13,80;-46,6281213;-23,5270169;;
CAI  0109;3268;B_8782;48;13,80;-46,6281209;-23,5270177;;
CAI  0109;3268;B_8781;49;13,80;-46,6280643;-23,5271344;;
CAI  0109;3268;B_8780;50;13,80;-46,6280636;-23,5271358;;
CAI  0109;3268;B_8779;51;13,80;-46,6280455;-23,5271719;;
CAI  0109;3268;B_8778;52;13,80;-46,6280376;-23,5271875;;
CAI  0109;3268;B_8777;53;13,80;-46,6279680;-23,5273264;;
CAI  0109;3268;B_8776;54;13,80;-46,6278448;-23,5275541;;
CAI  0109;3268;B_8775;55;13,80;-46,6277313;-23,5277781;;
CAI  0109;3268;B_8774;56;13,80;-46,6277298;-23,5277809;;
CAI  0109;3268;B_8773;57;13,80;-46,6276030;-23,5280135;;
CAI  0109;3268;B_8772;58;13,80;-46,6269575;-23,5260125;;
CAI  0109;3268;B_8771;59;13,80;-46,6266984;-23,5259892;;
CAI  0109;3268;B_8770;60;13,80;-46,6266980;-23,5259892;;
CAI  0109;3268;B_8769;61;13,80;-46,6359967;-23,5295991;;
CAI  0109;3268;B_8768;62;13,80;-46,6360771;-23,5298397;;
CAI  0109;3268;B_8767;63;13,80;-46,6360772;-23,5298400;;
CAI  0109;3268;B_8766;64;13,80;-46,6361162;-23,5299562;;
CAI  0109;3268;B_8765;65;13,80;-46,6358221;-23,5296256;;
