CAI  0109;8711;-46,6339811;-23,5295360
CAI  0109;8710;-46,6343561;-23,5303492
CAI  0109;8709;-46,6343555;-23,5303473
CAI  0109;8708;-46,6344329;-23,5306083
CAI  0109;8707;-46,6345323;-23,5309264
CAI  0109;8706;-46,6352209;-23,5285688
CAI  0109;8705;-46,6279262;-23,5261029
CAI  0109;8704;-46,6277617;-23,5260872
CAI  0109;8703;-46,6276380;-23,5260754
CAI  0109;8702;-46,6274643;-23,5260589
CAI  0109;8701;-46,6272876;-23,5260421
CAI  0109;8700;-46,6283940;-23,5287531
CAI  0109;8699;-46,6283384;-23,5287674
CAI  0109;8698;-46,6281822;-23,5288142
CAI  0109;8697;-46,6279771;-23,5288615
CAI  0109;8696;-46,6277324;-23,5288729
CAI  0109;8695;-46,6277722;-23,5289177
CAI  0109;8694;-46,6280025;-23,5283529
CAI  0109;8693;-46,6278759;-23,5285916
CAI  0109;8692;-46,6281138;-23,5281411
CAI  0109;8691;-46,6282104;-23,5279577
CAI  0109;8690;-46,6282505;-23,5278813
CAI  0109;8689;-46,6282880;-23,5278081
CAI  0109;8688;-46,6283438;-23,5276945
CAI  0109;8687;-46,6284167;-23,5275585
CAI  0109;8686;-46,6283471;-23,5276881
CAI  0109;8685;-46,6283447;-23,5276927
CAI  0109;8684;-46,6279299;-23,5261031
CAI  0109;8683;-46,6282405;-23,5261337
CAI  0109;8682;-46,6284630;-23,5261531
CAI  0109;8681;-46,6285267;-23,5261573
CAI  0109;8680;-46,6285659;-23,5261389
CAI  0109;8679;-46,6284759;-23,5287217
CAI  0109;8678;-46,6284848;-23,5287297
CAI  0109;8677;-46,6285263;-23,5273296
CAI  0109;8676;-46,6285757;-23,5261344
CAI  0109;8675;-46,6286359;-23,5259983
CAI  0109;8674;-46,6286401;-23,5271566
CAI  0109;8673;-46,6291493;-23,5262214
CAI  0109;8672;-46,6289857;-23,5264579
CAI  0109;8671;-46,6288817;-23,5266643
CAI  0109;8670;-46,6288805;-23,5266667
CAI  0109;8669;-46,6288517;-23,5267121
CAI  0109;8668;-46,6287395;-23,5269250
CAI  0109;8667;-46,6287369;-23,5269300
CAI  0109;8666;-46,6285932;-23,5271934
CAI  0109;8665;-46,6295080;-23,5268812
CAI  0109;8664;-46,6290026;-23,5270356
CAI  0109;8663;-46,6289051;-23,5270727
CAI  0109;8662;-46,6286534;-23,5271471
CAI  0109;8661;-46,6286513;-23,5271477
CAI  0109;8660;-46,6287723;-23,5286562
CAI  0109;8659;-46,6288426;-23,5286381
CAI  0109;8658;-46,6289605;-23,5286079
CAI  0109;8657;-46,6291048;-23,5285721
CAI  0109;8656;-46,6290551;-23,5262973
CAI  0109;8655;-46,6290641;-23,5263052
CAI  0109;8654;-46,6290819;-23,5263214
CAI  0109;8653;-46,6291165;-23,5293171
CAI  0109;8652;-46,6291595;-23,5294361
CAI  0109;8651;-46,6292067;-23,5294654
CAI  0109;8650;-46,6292023;-23,5286977
CAI  0109;8649;-46,6292801;-23,5285386
CAI  0109;8648;-46,6291118;-23,5293041
CAI  0109;8647;-46,6290730;-23,5291938
CAI  0109;8646;-46,6291205;-23,5289147
CAI  0109;8645;-46,6291773;-23,5286915
CAI  0109;8644;-46,6292000;-23,5285452
CAI  0109;8643;-46,6291887;-23,5269623
CAI  0109;8642;-46,6291976;-23,5269704
CAI  0109;8641;-46,6292521;-23,5284306
CAI  0109;8640;-46,6292255;-23,5284472
CAI  0109;8639;-46,6292555;-23,5283272
CAI  0109;8638;-46,6292550;-23,5283291
CAI  0109;8637;-46,6293332;-23,5281606
CAI  0109;8636;-46,6292999;-23,5281487
CAI  0109;8635;-46,6294891;-23,5275724
CAI  0109;8634;-46,6293848;-23,5278534
CAI  0109;8633;-46,6296643;-23,5284256
CAI  0109;8632;-46,6294219;-23,5285100
CAI  0109;8631;-46,6294518;-23,5276459
CAI  0109;8630;-46,6294607;-23,5276539
CAI  0109;8629;-46,6298412;-23,5283791
CAI  0109;8628;-46,6299490;-23,5283045
CAI  0109;8627;-46,6302201;-23,5282897
CAI  0109;8626;-46,6299763;-23,5283437
CAI  0109;8625;-46,6299713;-23,5283450
CAI  0109;8624;-46,6304970;-23,5290970
CAI  0109;8623;-46,6303213;-23,5291529
CAI  0109;8622;-46,6301653;-23,5291998
CAI  0109;8621;-46,6311704;-23,5289002
CAI  0109;8620;-46,6310337;-23,5289377
CAI  0109;8619;-46,6309069;-23,5289752
CAI  0109;8618;-46,6307234;-23,5290306
CAI  0109;8617;-46,6307215;-23,5290314
CAI  0109;8616;-46,6311288;-23,5286306
CAI  0109;8615;-46,6311378;-23,5286387
CAI  0109;8614;-46,6315201;-23,5286799
CAI  0109;8613;-46,6311890;-23,5287188
CAI  0109;8612;-46,6311978;-23,5287374
CAI  0109;8611;-46,6312282;-23,5288274
CAI  0109;8610;-46,6317438;-23,5284617
CAI  0109;8609;-46,6317358;-23,5283208
CAI  0109;8608;-46,6317526;-23,5284697
CAI  0109;8607;-46,6318659;-23,5286902
CAI  0109;8606;-46,6317638;-23,5285779
CAI  0109;8605;-46,6320373;-23,5286481
CAI  0109;8604;-46,6321663;-23,5285837
CAI  0109;8603;-46,6322229;-23,5286725
CAI  0109;8602;-46,6324699;-23,5285969
CAI  0109;8601;-46,6325567;-23,5285691
CAI  0109;8600;-46,6325547;-23,5285698
CAI  0109;8599;-46,6329067;-23,5284496
CAI  0109;8598;-46,6327595;-23,5285044
CAI  0109;8597;-46,6335813;-23,5282519
CAI  0109;8596;-46,6334838;-23,5282890
CAI  0109;8595;-46,6332986;-23,5283452
CAI  0109;8594;-46,6330620;-23,5284109
CAI  0109;8593;-46,6334959;-23,5279385
CAI  0109;8592;-46,6335959;-23,5277931
CAI  0109;8590;-46,6335159;-23,5279348
CAI  0109;8589;-46,6336872;-23,5280973
CAI  0109;8588;-46,6336463;-23,5279622
CAI  0109;8587;-46,6337919;-23,5281993
CAI  0109;8586;-46,6337383;-23,5282683
CAI  0109;8585;-46,6337082;-23,5282054
CAI  0109;8584;-46,6338198;-23,5285202
CAI  0109;8583;-46,6337695;-23,5283692
CAI  0109;8582;-46,6337688;-23,5283673
CAI  0109;8581;-46,6338504;-23,5286193
CAI  0109;8580;-46,6338833;-23,5287045
CAI  0109;8579;-46,6338709;-23,5286913
CAI  0109;8578;-46,6339780;-23,5290864
CAI  0109;8577;-46,6339767;-23,5290816
CAI  0109;8576;-46,6339504;-23,5289656
CAI  0109;8575;-46,6339205;-23,5288333
CAI  0109;8574;-46,6340383;-23,5292860
CAI  0109;8573;-46,6340961;-23,5294836
CAI  0109;8572;-46,6341397;-23,5296273
CAI  0109;8571;-46,6340678;-23,5289361
CAI  0109;8570;-46,6339988;-23,5289668
CAI  0109;8569;-46,6339133;-23,5281581
CAI  0109;8568;-46,6341278;-23,5280836
CAI  0109;8567;-46,6342747;-23,5300729
CAI  0109;8566;-46,6342187;-23,5298887
CAI  0109;8565;-46,6358365;-23,5296220
CAI  0109;8564;-46,6359826;-23,5295656
CAI  0109;8563;-46,6343043;-23,5280194
CAI  0109;8562;-46,6343133;-23,5280275
CAI  0109;8561;-46,6343480;-23,5304427
CAI  0109;8560;-46,6343569;-23,5304506
CAI  0109;8559;-46,6343657;-23,5304588
CAI  0109;8558;-46,6343747;-23,5304668
CAI  0109;8557;-46,6343925;-23,5304829
CAI  0109;8556;-46,6344122;-23,5288220
CAI  0109;8555;-46,6345962;-23,5279431
CAI  0109;8554;-46,6344205;-23,5279902
CAI  0109;8553;-46,6340697;-23,5289352
CAI  0109;8552;-46,6342259;-23,5288952
CAI  0109;8551;-46,6344209;-23,5288300
CAI  0109;8550;-46,6344555;-23,5307450
CAI  0109;8549;-46,6344645;-23,5307529
CAI  0109;8548;-46,6345109;-23,5281699
CAI  0109;8547;-46,6345094;-23,5281648
CAI  0109;8546;-46,6345526;-23,5283722
CAI  0109;8545;-46,6345721;-23,5283679
CAI  0109;8544;-46,6346037;-23,5284677
CAI  0109;8543;-46,6346126;-23,5284758
CAI  0109;8542;-46,6346330;-23,5285388
CAI  0109;8541;-46,6346534;-23,5286109
CAI  0109;8540;-46,6346340;-23,5285427
CAI  0109;8539;-46,6346334;-23,5285409
CAI  0109;8538;-46,6350355;-23,5286249
CAI  0109;8537;-46,6348991;-23,5286715
CAI  0109;8536;-46,6346908;-23,5287350
CAI  0109;8535;-46,6347213;-23,5288471
CAI  0109;8534;-46,6347044;-23,5287729
CAI  0109;8533;-46,6344315;-23,5288263
CAI  0109;8532;-46,6346551;-23,5287463
CAI  0109;8531;-46,6346844;-23,5287370
CAI  0109;8530;-46,6347034;-23,5279060
CAI  0109;8529;-46,6347245;-23,5288604
CAI  0109;8528;-46,6347253;-23,5288629
CAI  0109;8527;-46,6348172;-23,5291781
CAI  0109;8526;-46,6349396;-23,5295741
CAI  0109;8525;-46,6347530;-23,5278793
CAI  0109;8524;-46,6347611;-23,5278840
CAI  0109;8523;-46,6347671;-23,5290079
CAI  0109;8522;-46,6347759;-23,5290159
CAI  0109;8521;-46,6348897;-23,5294220
CAI  0109;8520;-46,6348986;-23,5294300
CAI  0109;8519;-46,6350225;-23,5278050
CAI  0109;8518;-46,6348453;-23,5278575
CAI  0109;8517;-46,6350213;-23,5277992
CAI  0109;8516;-46,6351488;-23,5297895
CAI  0109;8515;-46,6351578;-23,5297984
CAI  0109;8514;-46,6354613;-23,5297050
CAI  0109;8513;-46,6354701;-23,5297138
CAI  0109;8511;-46,6359270;-23,5293670
CAI  0109;8510;-46,6359563;-23,5294370
CAI  0109;8509;-46,6359874;-23,5295639
CAI  0109;8508;-46,6361963;-23,5301825
CAI  0109;8507;-46,6362413;-23,5303009
CAI  0109;8506;-46,6367509;-23,5293764
CAI  0109;8505;-46,6366951;-23,5293906
CAI  0109;8504;-46,6363683;-23,5294667
CAI  0109;8503;-46,6365643;-23,5294134
CAI  0109;8502;-46,6365733;-23,5294215
CAI  0109;8501;-46,6367774;-23,5285073
CAI  0109;8500;-46,6367061;-23,5283708
CAI  0109;8498;-46,6367400;-23,5292577
CAI  0109;8497;-46,6367457;-23,5292800
CAI  0109;8496;-46,6368563;-23,5293484
CAI  0109;8495;-46,6369353;-23,5293192
CAI  0109;8494;-46,6369443;-23,5293273
CAI  0109;8493;-46,6370273;-23,5293054
CAI  0109;8492;-46,6370251;-23,5293056
CAI  0109;8491;-46,6370909;-23,5292994
CAI  0109;8490;-46,6371595;-23,5293069
CAI  0109;8489;-46,6372598;-23,5295046
CAI  0109;8488;-46,6372099;-23,5294238
