19990 6050150 8458112
6065 6050161 8458109
6023 6050187 8458121
6022 6050175 8458139
6025 6050191 8458159
6024 6050214 8458178
4215 6050237 8458205
4216 6050285 8458180
6039 6050314 8458169
6038 6050312 8458140
6037 6050299 8458109
6036 6050294 8458078
6035 6050289 8458047
3995 6050269 8458048
6034 6050281 8458019
6033 6050273 8457985
6032 6050257 8457947
6031 6050252 8457921
6030 6050242 8457895
6029 6050248 8457860
6028 6050240 8457810
6027 6050249 8457779
6026 6050229 8457771
6048 6050223 8457729
4197 6050229 8457734
6057 6050168 8457688
6056 6050155 8457661
6055 6050132 8457630
6054 6050114 8457605
6053 6050097 8457579
6052 6050085 8457549
6051 6050069 8457523
6050 6050055 8457493
6049 6050034 8457459
6062 6050017 8457431
6061 6050004 8457404
6060 6049985 8457377
6059 6049976 8457354
6058 6049961 8457327
5167 6049945 8457303
5166 6049879 8457209
5071 6049830 8457096
4284 6049792 8457054
4285 6049735 8457029
4286 6049626 8456842
5165 6049522 8456751
5171 6049365 8456630
5173 6049247 8456597
5172 6049046 8456485
5170 6048834 8456367
5174 6048657 8456273
5175 6048532 8456234
5181 6048397 8456108
5072 6048275 8456031
5180 6048381 8456123
5177 6048158 8455961
5169 6048322 8456156
5176 6048039 8455891
5168 6048320 8456157
5179 6047959 8455801
5178 6047931 8455770
5254 6047801 8455615
5256 6047726 8455521
5255 6047669 8455455
5101 6047642 8455471
5102 6047577 8455357
5257 6047559 8455538
5103 6047455 8455263
5258 6047496 8455598
5104 6047405 8455213
5260 6047456 8455637
5107 6047315 8455141
5261 6047434 8455670
5259 6047454 8455638
5106 6047326 8455141
5108 6047254 8455116
5262 6047412 8455688
5105 6047329 8455141
5109 6047159 8455046
5263 6047371 8455790
5110 6046969 8454997
5264 6047248 8455967
5111 6046923 8454982
5266 6047240 8455983
5112 6046832 8454883
5265 6047239 8455986
5115 6046730 8454768
5268 6046651 8454675
5114 6046710 8454798
5267 6046539 8454548
5113 6046708 8454801
5116 6046491 8454497
5117 6046407 8454456
5119 6046182 8454348
4204 6046200 8454333
5118 6046027 8454276
5100 6045941 8454270
4201 6045951 8454226
5121 6045851 8454257
4200 6045960 8454172
4205 6045841 8454236
5122 6045758 8454251
4206 6045799 8454220
4199 6045833 8454216
5132 6045346 8454212
4208 6045773 8454204
5134 6045284 8454206
4207 6045733 8454179
5133 6045142 8454193
4203 6045652 8454104
5123 6044759 8454158
4202 6045618 8454081
4280 6044438 8454178
