SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 0, 4
ClickOn
SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 1, 0
Xlabel, "X"
Ylabel, "Y"
TxtAlign, 1
KeyClass, 1
ChartCaption, "CMC-01P3:Power, max=465   "
Line, "Line.1305990", "6053.1.2.3", "6054.1.2.3", 4992, 6,  0, 0, 7.9674337, 0, 6050097, 8457579, 6050114, 8457605, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305991", "6052.1.2.3", "6053.1.2.3", 5184, 6,  0, 0, 7.9674337, 0, 6050085, 8457549, 6050097, 8457579, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305992", "6051.1.2.3", "6052.1.2.3", 5376, 6,  0, 0, 7.9674337, 0, 6050069, 8457523, 6050085, 8457549, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305993", "6050.1.2.3", "6051.1.2.3", 5568, 6,  0, 0, 7.9674337, 0, 6050055, 8457493, 6050069, 8457523, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305994", "6049.1.2.3", "6050.1.2.3", 5760, 6,  0, 0, 7.9674337, 0, 6050034, 8457459, 6050055, 8457493, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1307376", "6062.1.2.3", "6049.1.2.3", 5952, 6,  0, 0, 7.9674337, 0, 6050017, 8457431, 6050034, 8457459, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305983", "6061.1.2.3", "6062.1.2.3", 6144, 6,  0, 0, 7.9674337, 0, 6050004, 8457404, 6050017, 8457431, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305984", "6061.1.2.3", "6060.1.2.3", 6336, 6,  0, 0, 7.9674337, 0, 6050004, 8457404, 6049985, 8457377, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305985", "6060.1.2.3", "6059.1.2.3", 6528, 6,  0, 0, 7.9674337, 0, 6049985, 8457377, 6049976, 8457354, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1305986", "6058.1.2.3", "6059.1.2.3", 6720, 6,  0, 0, 7.9674337, 0, 6049961, 8457327, 6049976, 8457354, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1307206", "5167.1.2.3", "6058.1.2.3", 6912, 6,  0, 0, 7.9674337, 0, 6049945, 8457303, 6049961, 8457327, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1307380", "5071.1.2.3", "5166.1.2.3", 7104, 6,  0, 0, 7.9674337, 0, 6049830, 8457096, 6049879, 8457209, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1308319", "4284.1.2.3", "5071.1.2.3", 7296, 6,  0, 0, 7.9674337, 0, 6049792, 8457054, 6049830, 8457096, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1308320", "4284.1.2.3", "4285.1.2.3", 7488, 6,  0, 0, 7.9674337, 0, 6049792, 8457054, 6049735, 8457029, 16711680, 5, 0, 0, 0, 0, 16, 1
Line, "Line.1308318", "4285.1.2.3", "4286.1.2.3", 7680, 6,  0, 0, 7.9674337, 0, 6049735, 8457029, 6049626, 8456842, 16711680, 5, 0, 0, 0, 0, 16, 1
