
BUSES AND NODES IN ACTIVE CIRCUIT: cmc-01p3

                                Coord                                 Number of     Nodes
  Bus      Base kV             (x, y)                      Keep?       Nodes        connected ...

"19991" 138.000          (           NA,            NA )     No           3          1    2    3 
"5267"   13.800          ( 6046539      , 8454548      )     No           3          1    2    3 
"5113"   13.800          ( 6046708      , 8454801      )     No           3          1    2    3 
"5116"   13.800          ( 6046491      , 8454497      )     No           3          1    2    3 
"5117"   13.800          ( 6046407      , 8454456      )     No           3          1    2    3 
"5119"   13.800          ( 6046182      , 8454348      )     No           3          1    2    3 
"4204"   13.800          ( 6046200      , 8454333      )     No           3          1    2    3 
"5118"   13.800          ( 6046027      , 8454276      )     No           3          1    2    3 
"5100"   13.800          ( 6045941      , 8454270      )     No           3          1    2    3 
"5121"   13.800          ( 6045851      , 8454257      )     No           3          1    2    3 
"4200"   13.800          ( 6045960      , 8454172      )     No           2          1    3 
"4201"   13.800          ( 6045951      , 8454226      )     No           3          1    3    2 
"5122"   13.800          ( 6045758      , 8454251      )     No           3          1    2    3 
"4199"   13.800          ( 6045833      , 8454216      )     No           2          1    3 
"4205"   13.800          ( 6045841      , 8454236      )     No           3          1    3    2 
"5132"   13.800          ( 6045346      , 8454212      )     No           3          1    2    3 
"4206"   13.800          ( 6045799      , 8454220      )     No           2          1    3 
"4208"   13.800          ( 6045773      , 8454204      )     No           2          1    3 
"5134"   13.800          ( 6045284      , 8454206      )     No           3          1    2    3 
"4207"   13.800          ( 6045733      , 8454179      )     No           2          1    3 
"5133"   13.800          ( 6045142      , 8454193      )     No           3          1    2    3 
"4203"   13.800          ( 6045652      , 8454104      )     No           2          1    3 
"5123"   13.800          ( 6044759      , 8454158      )     No           3          1    2    3 
"4202"   13.800          ( 6045618      , 8454081      )     No           2          1    3 
"4280"   13.800          ( 6044438      , 8454178      )     No           3          1    2    3 
"5138"   13.800          ( 6044134      , 8454196      )     No           3          1    2    3 
"5137"   13.800          ( 6043970      , 8454227      )     No           3          1    2    3 
"5135"   13.800          ( 6044145      , 8454285      )     No           3          1    2    3 
"5136"   13.800          ( 6044138      , 8454246      )     No           3          1    2    3 
"5124"   13.800          ( 6043732      , 8454262      )     No           3          1    2    3 
"5125"   13.800          ( 6043931      , 8454256      )     No           1          1 
"5120"   13.800          ( 6044146      , 8454288      )     No           3          1    2    3 
"5141"   13.800          ( 6043533      , 8454295      )     No           3          1    2    3 
"5162"   13.800          ( 6043398      , 8454321      )     No           3          1    2    3 
"5139"   13.800          ( 6043928      , 8454322      )     No           1          1 
"5140"   13.800          ( 6043928      , 8454319      )     No           1          1 
"5160"   13.800          ( 6043387      , 8454451      )     No           3          1    2    3 
"5161"   13.800          ( 6043267      , 8454247      )     No           3          1    2    3 
"5145"   13.800          ( 6043337      , 8454613      )     No           3          1    2    3 
