
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"12.2"             ,    0.00000,  7.89046E+0003,  7.96743E+0003
"12.3"             ,    0.00000,  7.88941E+0003,  7.96743E+0003
"434.1"            ,    0.00000,  7.89493E+0003,  7.96743E+0003
"434.2"            ,    0.00000,  7.88989E+0003,  7.96743E+0003
"434.3"            ,    0.00000,  7.88810E+0003,  7.96743E+0003
"1103.1"           ,    0.00000,  7.89563E+0003,  7.96743E+0003
"1103.2"           ,    0.00000,  7.89049E+0003,  7.96743E+0003
"1103.3"           ,    0.00000,  7.88896E+0003,  7.96743E+0003
"3249.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3249.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3249.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"2923.1"           ,    0.00000,  7.90515E+0003,  7.96743E+0003
"2923.2"           ,    0.00000,  7.90245E+0003,  7.96743E+0003
"2923.3"           ,    0.00000,  7.89917E+0003,  7.96743E+0003
"2646.1"           ,    0.00000,  7.92109E+0003,  7.96743E+0003
"2646.2"           ,    0.00000,  7.91986E+0003,  7.96743E+0003
"2646.3"           ,    0.00000,  7.91352E+0003,  7.96743E+0003
"2227.1"           ,    0.00000,  7.92255E+0003,  7.96743E+0003
"2227.2"           ,    0.00000,  7.92125E+0003,  7.96743E+0003
"2227.3"           ,    0.00000,  7.91373E+0003,  7.96743E+0003
"931.1"            ,    0.00000,  7.89671E+0003,  7.96743E+0003
"931.2"            ,    0.00000,  7.89161E+0003,  7.96743E+0003
"931.3"            ,    0.00000,  7.88990E+0003,  7.96743E+0003
"1974.1"           ,    0.00000,  7.89724E+0003,  7.96743E+0003
"1974.2"           ,    0.00000,  7.89185E+0003,  7.96743E+0003
"1974.3"           ,    0.00000,  7.89053E+0003,  7.96743E+0003
"1102.1"           ,    0.00000,  7.89326E+0003,  7.96743E+0003
"1102.2"           ,    0.00000,  7.88804E+0003,  7.96743E+0003
"1102.3"           ,    0.00000,  7.88664E+0003,  7.96743E+0003
"3269.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3269.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3269.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"2926.1"           ,    0.00000,  7.90493E+0003,  7.96743E+0003
"2926.2"           ,    0.00000,  7.90218E+0003,  7.96743E+0003
"2926.3"           ,    0.00000,  7.89892E+0003,  7.96743E+0003
"2649.1"           ,    0.00000,  7.92101E+0003,  7.96743E+0003
"2649.2"           ,    0.00000,  7.91979E+0003,  7.96743E+0003
"2649.3"           ,    0.00000,  7.91343E+0003,  7.96743E+0003
"2226.1"           ,    0.00000,  7.92315E+0003,  7.96743E+0003
"2226.2"           ,    0.00000,  7.92186E+0003,  7.96743E+0003
"2226.3"           ,    0.00000,  7.91352E+0003,  7.96743E+0003
"3309.1"           ,    0.00000,  7.89713E+0003,  7.96743E+0003
"3309.2"           ,    0.00000,  7.89205E+0003,  7.96743E+0003
"3309.3"           ,    0.00000,  7.89042E+0003,  7.96743E+0003
"930.1"            ,    0.00000,  7.89593E+0003,  7.96743E+0003
"930.2"            ,    0.00000,  7.89083E+0003,  7.96743E+0003
"930.3"            ,    0.00000,  7.88895E+0003,  7.96743E+0003
"1978.1"           ,    0.00000,  7.89725E+0003,  7.96743E+0003
"1978.2"           ,    0.00000,  7.89184E+0003,  7.96743E+0003
"1978.3"           ,    0.00000,  7.89054E+0003,  7.96743E+0003
"9.1"              ,    0.00000,  7.89541E+0003,  7.96743E+0003
"9.2"              ,    0.00000,  7.88930E+0003,  7.96743E+0003
"9.3"              ,    0.00000,  7.88867E+0003,  7.96743E+0003
"432.1"            ,    0.00000,  7.89332E+0003,  7.96743E+0003
"432.2"            ,    0.00000,  7.88830E+0003,  7.96743E+0003
"432.3"            ,    0.00000,  7.88639E+0003,  7.96743E+0003
"1106.1"           ,    0.00000,  7.89278E+0003,  7.96743E+0003
"1106.2"           ,    0.00000,  7.88754E+0003,  7.96743E+0003
"1106.3"           ,    0.00000,  7.88618E+0003,  7.96743E+0003
"2925.1"           ,    0.00000,  7.90415E+0003,  7.96743E+0003
"2925.2"           ,    0.00000,  7.90127E+0003,  7.96743E+0003
"2925.3"           ,    0.00000,  7.89807E+0003,  7.96743E+0003
"2835.1"           ,    0.00000,  7.92100E+0003,  7.96743E+0003
"2835.2"           ,    0.00000,  7.91978E+0003,  7.96743E+0003
"2835.3"           ,    0.00000,  7.91343E+0003,  7.96743E+0003
"2225.1"           ,    0.00000,  7.92384E+0003,  7.96743E+0003
"2225.2"           ,    0.00000,  7.92256E+0003,  7.96743E+0003
"2225.3"           ,    0.00000,  7.91328E+0003,  7.96743E+0003
"934.1"            ,    0.00000,  7.89579E+0003,  7.96743E+0003
"934.2"            ,    0.00000,  7.89068E+0003,  7.96743E+0003
"934.3"            ,    0.00000,  7.88878E+0003,  7.96743E+0003
"1977.1"           ,    0.00000,  7.89733E+0003,  7.96743E+0003
"1977.2"           ,    0.00000,  7.89171E+0003,  7.96743E+0003
"1977.3"           ,    0.00000,  7.89062E+0003,  7.96743E+0003
"1105.1"           ,    0.00000,  7.89000E+0003,  7.96743E+0003
"1105.2"           ,    0.00000,  7.88466E+0003,  7.96743E+0003
"1105.3"           ,    0.00000,  7.88347E+0003,  7.96743E+0003
"3267.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3267.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3267.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3267.4"           ,    0.00000,  5.06034E-0001,  7.96743E+0003
"3269.4"           ,    0.00000,  5.06034E-0001,  7.96743E+0003
"3029.1"           ,    0.00000,  7.90412E+0003,  7.96743E+0003
"3029.2"           ,    0.00000,  7.90124E+0003,  7.96743E+0003
"3029.3"           ,    0.00000,  7.89805E+0003,  7.96743E+0003
"2224.1"           ,    0.00000,  7.92409E+0003,  7.96743E+0003
"2224.2"           ,    0.00000,  7.92281E+0003,  7.96743E+0003
"2224.3"           ,    0.00000,  7.91320E+0003,  7.96743E+0003
"3306.1"           ,    0.00000,  7.89713E+0003,  7.96743E+0003
"3306.2"           ,    0.00000,  7.89205E+0003,  7.96743E+0003
"3306.3"           ,    0.00000,  7.89042E+0003,  7.96743E+0003
"933.1"            ,    0.00000,  7.89484E+0003,  7.96743E+0003
"933.2"            ,    0.00000,  7.88973E+0003,  7.96743E+0003
"933.3"            ,    0.00000,  7.88763E+0003,  7.96743E+0003
"1976.1"           ,    0.00000,  7.89742E+0003,  7.96743E+0003
"1976.2"           ,    0.00000,  7.89155E+0003,  7.96743E+0003
"1976.3"           ,    0.00000,  7.89071E+0003,  7.96743E+0003
"7.1"              ,    0.00000,  7.89428E+0003,  7.96743E+0003
"7.2"              ,    0.00000,  7.88751E+0003,  7.96743E+0003
"7.3"              ,    0.00000,  7.88753E+0003,  7.96743E+0003
"431.1"            ,    0.00000,  7.89083E+0003,  7.96743E+0003
"431.2"            ,    0.00000,  7.88586E+0003,  7.96743E+0003
"431.3"            ,    0.00000,  7.88375E+0003,  7.96743E+0003
"1104.1"           ,    0.00000,  7.88682E+0003,  7.96743E+0003
"1104.2"           ,    0.00000,  7.88136E+0003,  7.96743E+0003
"1104.3"           ,    0.00000,  7.88036E+0003,  7.96743E+0003
"3266.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3266.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3266.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3264.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3264.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3264.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3264.4"           ,    0.00000,  5.06034E-0001,  7.96743E+0003
"2833.1"           ,    0.00000,  7.92100E+0003,  7.96743E+0003
"2833.2"           ,    0.00000,  7.91978E+0003,  7.96743E+0003
"2833.3"           ,    0.00000,  7.91343E+0003,  7.96743E+0003
"2833.4"           ,    0.00001,  1.70004E+0000,  7.96743E+0003
"2835.4"           ,    0.00001,  1.70019E+0000,  7.96743E+0003
"2228.1"           ,    0.00000,  7.92440E+0003,  7.96743E+0003
"2228.2"           ,    0.00000,  7.92313E+0003,  7.96743E+0003
"2228.3"           ,    0.00000,  7.91309E+0003,  7.96743E+0003
"932.1"            ,    0.00000,  7.89378E+0003,  7.96743E+0003
"932.2"            ,    0.00000,  7.88866E+0003,  7.96743E+0003
"932.3"            ,    0.00000,  7.88634E+0003,  7.96743E+0003
"1980.1"           ,    0.00000,  7.89745E+0003,  7.96743E+0003
"1980.2"           ,    0.00000,  7.89149E+0003,  7.96743E+0003
"1980.3"           ,    0.00000,  7.89074E+0003,  7.96743E+0003
"1108.1"           ,    0.00000,  7.88570E+0003,  7.96743E+0003
"1108.2"           ,    0.00000,  7.88021E+0003,  7.96743E+0003
"1108.3"           ,    0.00000,  7.87927E+0003,  7.96743E+0003
"3265.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3265.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3265.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3029.4"           ,    0.00002,  9.23272E-0001,  7.96743E+0003
"3034.1"           ,    0.00000,  7.90410E+0003,  7.96743E+0003
"3034.2"           ,    0.00000,  7.90121E+0003,  7.96743E+0003
"3034.3"           ,    0.00000,  7.89803E+0003,  7.96743E+0003
"3034.4"           ,    0.00002,  9.22706E-0001,  7.96743E+0003
"2832.1"           ,    0.00000,  7.92096E+0003,  7.96743E+0003
"2832.2"           ,    0.00000,  7.91975E+0003,  7.96743E+0003
"2832.3"           ,    0.00000,  7.91339E+0003,  7.96743E+0003
"2823.1"           ,    0.00000,  7.92100E+0003,  7.96743E+0003
"2823.2"           ,    0.00000,  7.91978E+0003,  7.96743E+0003
"2823.3"           ,    0.00000,  7.91343E+0003,  7.96743E+0003
"2823.4"           ,    0.00001,  1.70004E+0000,  7.96743E+0003
"2285.1"           ,    0.00000,  7.92441E+0003,  7.96743E+0003
"2285.2"           ,    0.00000,  7.92314E+0003,  7.96743E+0003
"2285.3"           ,    0.00000,  7.91309E+0003,  7.96743E+0003
"3304.1"           ,    0.00000,  7.89713E+0003,  7.96743E+0003
"3304.2"           ,    0.00000,  7.89205E+0003,  7.96743E+0003
"3304.3"           ,    0.00000,  7.89042E+0003,  7.96743E+0003
"936.1"            ,    0.00000,  7.89340E+0003,  7.96743E+0003
"936.2"            ,    0.00000,  7.88829E+0003,  7.96743E+0003
"936.3"            ,    0.00000,  7.88589E+0003,  7.96743E+0003
"1979.1"           ,    0.00000,  7.89752E+0003,  7.96743E+0003
"1979.2"           ,    0.00000,  7.89137E+0003,  7.96743E+0003
"1979.3"           ,    0.00000,  7.89081E+0003,  7.96743E+0003
"5.1"              ,    0.00000,  7.89302E+0003,  7.96743E+0003
"5.2"              ,    0.00000,  7.88549E+0003,  7.96743E+0003
"5.3"              ,    0.00000,  7.88624E+0003,  7.96743E+0003
"428.1"            ,    0.00000,  7.88802E+0003,  7.96743E+0003
"428.2"            ,    0.00000,  7.88310E+0003,  7.96743E+0003
"428.3"            ,    0.00000,  7.88078E+0003,  7.96743E+0003
"1107.1"           ,    0.00000,  7.88328E+0003,  7.96743E+0003
"1107.2"           ,    0.00000,  7.87770E+0003,  7.96743E+0003
"1107.3"           ,    0.00000,  7.87691E+0003,  7.96743E+0003
"3277.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3277.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3277.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3033.1"           ,    0.00000,  7.90410E+0003,  7.96743E+0003
